"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","85+ years","85+",13,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19","65-74 years","65-74",10,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 16 ending April 21, 2018","2018/16","Renal failure","N17-N19","85+ years","85+",10,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 29 ending July 21, 2018","2018/29","Renal failure","N17-N19","75-84 years","75-84",11,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 41 ending October 13, 2018","2018/41","Renal failure","N17-N19","75-84 years","75-84",10,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 45 ending November 10, 2018","2018/45","Renal failure","N17-N19","85+ years","85+",11,Not Applicable,Not Applicable
,"Arizona","04","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","75-84 years","75-84",10,Not Applicable,Not Applicable
,"Arizona","04","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19","85+ years","85+",10,Not Applicable,Not Applicable
,"Arizona","04","2018 Week 52 ending December 29, 2018","2018/52","Renal failure","N17-N19","85+ years","85+",11,Not Applicable,Not Applicable
,"Arkansas","05","2018 Week 23 ending June 09, 2018","2018/23","Renal failure","N17-N19","85+ years","85+",10,Not Applicable,Not Applicable
,"Arkansas","05","2018 Week 29 ending July 21, 2018","2018/29","Renal failure","N17-N19","75-84 years","75-84",10,Not Applicable,Not Applicable
,"California","06","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","55-64 years","55-64",14,Not Applicable,Not Applicable
,"California","06","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","65-74 years","65-74",16,Not Applicable,Not Applicable
,"California","06","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","75-84 years","75-84",25,Not Applicable,Not Applicable
,"California","06","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","85+ years","85+",27,Not Applicable,Not Applicable
,"California","06","2018 Week 02 ending January 13, 2018","2018/02","Renal failure","N17-N19","65-74 years","65-74",18,Not Applicable,Not Applicable
,"California","06","2018 Week 02 ending January 13, 2018","2018/02","Renal failure","N17-N19","75-84 years","75-84",26,Not Applicable,Not Applicable
,"California","06","2018 Week 02 ending January 13, 2018","2018/02","Renal failure","N17-N19","85+ years","85+",30,Not Applicable,Not Applicable
,"California","06","2018 Week 03 ending January 20, 2018","2018/03","Renal failure","N17-N19","65-74 years","65-74",17,Not Applicable,Not Applicable
,"California","06","2018 Week 03 ending January 20, 2018","2018/03","Renal failure","N17-N19","75-84 years","75-84",24,Not Applicable,Not Applicable
,"California","06","2018 Week 03 ending January 20, 2018","2018/03","Renal failure","N17-N19","85+ years","85+",30,Not Applicable,Not Applicable
,"California","06","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","55-64 years","55-64",11,Not Applicable,Not Applicable
,"California","06","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","65-74 years","65-74",19,Not Applicable,Not Applicable
,"California","06","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","75-84 years","75-84",14,Not Applicable,Not Applicable
,"California","06","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","85+ years","85+",37,Not Applicable,Not Applicable
,"California","06","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19","65-74 years","65-74",17,Not Applicable,Not Applicable
,"California","06","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19","75-84 years","75-84",23,Not Applicable,Not Applicable
,"California","06","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19","85+ years","85+",37,Not Applicable,Not Applicable
,"California","06","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","55-64 years","55-64",11,Not Applicable,Not Applicable
,"California","06","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","65-74 years","65-74",18,Not Applicable,Not Applicable
,"California","06","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","75-84 years","75-84",18,Not Applicable,Not Applicable
,"California","06","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","85+ years","85+",35,Not Applicable,Not Applicable
,"California","06","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19","55-64 years","55-64",12,Not Applicable,Not Applicable
,"California","06","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19","65-74 years","65-74",15,Not Applicable,Not Applicable
,"California","06","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19","75-84 years","75-84",23,Not Applicable,Not Applicable
,"California","06","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19","85+ years","85+",47,Not Applicable,Not Applicable
,"California","06","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19","65-74 years","65-74",13,Not Applicable,Not Applicable
,"California","06","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19","75-84 years","75-84",20,Not Applicable,Not Applicable
,"California","06","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19","85+ years","85+",21,Not Applicable,Not Applicable
,"California","06","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19","55-64 years","55-64",20,Not Applicable,Not Applicable
,"California","06","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19","65-74 years","65-74",17,Not Applicable,Not Applicable
,"California","06","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19","75-84 years","75-84",15,Not Applicable,Not Applicable
,"California","06","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19","85+ years","85+",35,Not Applicable,Not Applicable
,"California","06","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19","55-64 years","55-64",10,Not Applicable,Not Applicable
,"California","06","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19","65-74 years","65-74",12,Not Applicable,Not Applicable
,"California","06","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19","75-84 years","75-84",22,Not Applicable,Not Applicable
,"California","06","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19","85+ years","85+",35,Not Applicable,Not Applicable
,"California","06","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19","55-64 years","55-64",10,Not Applicable,Not Applicable
,"California","06","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19","65-74 years","65-74",10,Not Applicable,Not Applicable
,"California","06","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19","75-84 years","75-84",18,Not Applicable,Not Applicable
,"California","06","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19","85+ years","85+",27,Not Applicable,Not Applicable
