"","Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Deaths","Population","Crude Rate"
"1",NA,"Alabama","01","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","85+ years","85+",13,"Not Applicable","Not Applicable"
"2",NA,"Alabama","01","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19","65-74 years","65-74",10,"Not Applicable","Not Applicable"
"3",NA,"Alabama","01","2018 Week 16 ending April 21, 2018","2018/16","Renal failure","N17-N19","85+ years","85+",10,"Not Applicable","Not Applicable"
"4",NA,"Alabama","01","2018 Week 29 ending July 21, 2018","2018/29","Renal failure","N17-N19","75-84 years","75-84",11,"Not Applicable","Not Applicable"
"5",NA,"Alabama","01","2018 Week 41 ending October 13, 2018","2018/41","Renal failure","N17-N19","75-84 years","75-84",10,"Not Applicable","Not Applicable"
"6",NA,"Alabama","01","2018 Week 45 ending November 10, 2018","2018/45","Renal failure","N17-N19","85+ years","85+",11,"Not Applicable","Not Applicable"
"7",NA,"Arizona","04","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","75-84 years","75-84",10,"Not Applicable","Not Applicable"
"8",NA,"Arizona","04","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19","85+ years","85+",10,"Not Applicable","Not Applicable"
"9",NA,"Arizona","04","2018 Week 52 ending December 29, 2018","2018/52","Renal failure","N17-N19","85+ years","85+",11,"Not Applicable","Not Applicable"
"10",NA,"Arkansas","05","2018 Week 23 ending June 09, 2018","2018/23","Renal failure","N17-N19","85+ years","85+",10,"Not Applicable","Not Applicable"
"11",NA,"Arkansas","05","2018 Week 29 ending July 21, 2018","2018/29","Renal failure","N17-N19","75-84 years","75-84",10,"Not Applicable","Not Applicable"
"12",NA,"California","06","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","55-64 years","55-64",14,"Not Applicable","Not Applicable"
"13",NA,"California","06","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"14",NA,"California","06","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","75-84 years","75-84",25,"Not Applicable","Not Applicable"
"15",NA,"California","06","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"16",NA,"California","06","2018 Week 02 ending January 13, 2018","2018/02","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"17",NA,"California","06","2018 Week 02 ending January 13, 2018","2018/02","Renal failure","N17-N19","75-84 years","75-84",26,"Not Applicable","Not Applicable"
"18",NA,"California","06","2018 Week 02 ending January 13, 2018","2018/02","Renal failure","N17-N19","85+ years","85+",30,"Not Applicable","Not Applicable"
"19",NA,"California","06","2018 Week 03 ending January 20, 2018","2018/03","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"20",NA,"California","06","2018 Week 03 ending January 20, 2018","2018/03","Renal failure","N17-N19","75-84 years","75-84",24,"Not Applicable","Not Applicable"
"21",NA,"California","06","2018 Week 03 ending January 20, 2018","2018/03","Renal failure","N17-N19","85+ years","85+",30,"Not Applicable","Not Applicable"
"22",NA,"California","06","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"23",NA,"California","06","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","65-74 years","65-74",19,"Not Applicable","Not Applicable"
"24",NA,"California","06","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","75-84 years","75-84",14,"Not Applicable","Not Applicable"
"25",NA,"California","06","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19","85+ years","85+",37,"Not Applicable","Not Applicable"
"26",NA,"California","06","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"27",NA,"California","06","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
